ID,UtilFcltyClass,Tract,Name,Address,City,State,Zipcode,Owner,Contact,PhoneNumber,Usage,YearBuilt,Cost,BackupPower,Latitude,Longitude,Comment
PA000026,CBT  ,42077006702,WBPH-TV  CH  60,NULL,BETHLEHEM,PA,NULL,SONSHINE FAMILY TELEVISIO,NULL,6104334400,TV,NULL,109,FALSE,40.5651,-75.44046,60850|TV|TV STATION
PA000049,CBT  ,42077006903,WFMZ-TV  CH  69,NULL,ALLENTOWN,PA,NULL,MARANATHA BROADCASTING CO,NULL, ,TV,NULL,109,FALSE,40.56454,-75.43963,39884|TV|TV STATION
PA000052,CBT  ,42077006903,WLVT-TV  CH  39,NULL,ALLENTOWN,PA,NULL,LEHIGH VALLEY PUBLIC TELE,NULL, ,TV,NULL,109,FALSE,40.56621,-75.43463,36989|TV|EDUCATIONAL TV STATION
PA000078,CBR  ,42095017102,WEEX   1230,NULL,EASTON,PA,NULL,"NASSAU BROADCASTING II, L",NULL,6099241515,AM,NULL,109,FALSE,40.70843,-75.21629,8596
PA000089,CBR  ,42077005601,WAEB   790,NULL,ALLENTOWN,PA,NULL,CAPSTAR TX LIMITED PARTNE,NULL,9186644581,AM,NULL,109,FALSE,40.66037,-75.51352,14371
PA000097,CBR  ,42077005702,WKAP   1470,NULL,ALLENTOWN,PA,NULL,CAPSTAR TX LIMITED PARTNE,NULL,9186644581,AM,NULL,109,FALSE,40.63621,-75.48463,18233
PA000112,CBR  ,42077001401,WHOL   1600,NULL,ALLENTOWN,PA,NULL,LEHIGH VALLEY B/CING ASSO,NULL, ,AM,NULL,109,FALSE,40.5926,-75.47796,36987
PA000113,CBR  ,42095018100,WEST   1400,NULL,EASTON,PA,NULL,MARANATHA BROADCASTING CO,NULL, ,AM,NULL,109,FALSE,40.67315,-75.20795,36996
PA000216,CBR  ,42095010500,WGPA   1100,NULL,BETHLEHEM,PA,NULL,TIMMER BROADCASTING COMPA,NULL, ,AM,NULL,109,FALSE,40.62427,-75.3549,67137
PA000264,CBR  ,42077006903,WJCS  CH 207,NULL,ALLENTOWN,PA,NULL,BEACON BROADCASTING CORPO,NULL, ,FM,NULL,109,FALSE,40.56454,-75.43963,4370 | ED | A
PA000281,CBR  ,42077005200,WAEB-FM  CH 281,NULL,ALLENTOWN,PA,NULL,CAPSTAR TX LIMITED PARTNE,NULL,9186644581,FM,NULL,109,FALSE,40.72037,-75.59519,14372 | H | B
PA000282,CBR  ,42095018001,WZZO  CH 236,NULL,BETHLEHEM,PA,NULL,CAPSTAR TX LIMITED PARTNE,NULL,9186644581,FM,NULL,109,FALSE,40.62038,-75.29323,14375 | H | B
PA000296,CBR  ,42095017102,WODE-FM  CH 260,NULL,EASTON,PA,NULL,"NASSAU BROADCASTING II, L",NULL,6099241515,FM,NULL,109,FALSE,40.70843,-75.21629,8595 | H | B
PA000363,CBR  ,42077005506,WXLV  CH 212,NULL,SCHNECKSVILLE,PA,NULL,LEHIGH CARBON COMMUNITY C,NULL, ,FM,NULL,109,FALSE,40.66204,-75.61102,36983 | ED | A
PA000364,CBR  ,42095011300,WLVR-FM  CH 217,NULL,BETHLEHEM,PA,NULL,LEHIGH UNIVERSITY,NULL, ,FM,NULL,109,FALSE,40.60121,-75.35907,36984 | ED | A
PA000365,CBR  ,42077006702,WDIY  CH 201,NULL,ALLENTOWN,PA,NULL,LEHIGH VALLEY COMMUNITY B,NULL, ,FM,NULL,109,FALSE,40.5651,-75.44018,36992 | ED | A
PA000366,CBR  ,42077006701,WCTO  CH 241,NULL,EASTON,PA,NULL,CITADEL BROADCASTING COMP,NULL,7028045200,FM,NULL,109,FALSE,40.59871,-75.41963,36997 | H | B
PA000378,CBR  ,42095014100,WJRH  CH 285,NULL,EASTON,PA,NULL,LAFAYETTE COLLEGE,NULL, ,FM,NULL,109,FALSE,40.69815,-75.20795,36224 | ED | D
PA000394,CBR  ,42077006702,WLEV  CH 264,NULL,ALLENTOWN,PA,NULL,CITADEL BROADCASTING COMP,NULL,7028045200,FM,NULL,109,FALSE,40.5651,-75.44018,39875 | H | B
PA000411,CBR  ,42077002202,WMUH  CH 219,NULL,ALLENTOWN,PA,NULL,MUHLENBERG COLLEGE,NULL, ,FM,NULL,109,FALSE,40.59787,-75.51018,46947 | ED | A
PA000443,CBR  ,42095018300,WWYY  CH 296,NULL,BELVIDERE,PA,NULL,"BIG CITY RADIO-NYC, L.L.C",NULL, ,FM,NULL,109,FALSE,40.94815,-75.16018,54689 | H | A
PA000552,CBR  ,42095015500,WWPJ  CH 208,NULL,PEN ARGYL,PA,NULL,MERCER COUNTY COMMUNITY C,NULL, ,FM,NULL,109,FALSE,40.88371,-75.26157,78699 | ED | A
