ID,BridgeClass,Census Tract,Name,Owner,BridgeType,Width,NumSpans,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude
PA000036,HWB14,42077001402,FULLERS BRIDGE,City Highway Agency,,4,2,12,0,,,1998,0,N000000000,,6,50,,,254.28,40.565,-75.50667
PA004243,HWB3 ,42077007000,BROAD AVENUE,City Highway Agency,,10.1,1,14,0,,,1940,0,N000000000,,6,1207,,,267.52,40.47667,-75.43
PA006204,HWB4 ,42095016002,SR 248(LR 163),State Highway Agency,,22.8,1,27,30,,,2000,0,N000000000,,7,10935,,,"1,087.03",40.78333,-75.6
PA006974,HWB3 ,42095015901,OLD EAGLE SCHOOL,State Highway Agency,,9,1,8,5,,,1929,0,N000000000,,N,15807,,,143.03,40.82667,-75.41
PA006975,HWB17,42095015901,OLD EAGLE SCHOOL,State Highway Agency,,11,2,20,2,,,1966,0,H043600000,,N,15807,,,776.95,40.82667,-75.41
PA014858,HWB12,42077006203,SR 22 EB,State Highway Agency,,13.3,3,58,52,,,1988,0,H052000000,,N,15598,,,"2,418.97",40.59,-75.59167
PA014859,HWB15,42077006203,SR 22(LR 443 WB),State Highway Agency,,14.2,3,13,19,,,1958,0,H046700000,,N,15481,,,777.31,40.59,-75.59
PA014861,HWB3 ,42077006203,SR 22(LR 443),State Highway Agency,,21.8,1,28,64,,,1958,0,H042900000,,N,46465,,,"1,193.33",40.59333,-75.58167
PA014863,HWB3 ,42077006002,SR 22(LR 771),State Highway Agency,,34.1,1,34,1,,,1973,0,H043400000,,N,85501,,,"3,371.97",40.6,-75.56
PA014865,HWB15,42077006002,SR 22(LR 771),State Highway Agency,,25.5,3,13,33,,,1953,0,H042600000,,N,85501,,,"1,575.98",40.605,-75.54667
PA014867,HWB15,42077002201,US 22(LR 771),State Highway Agency,,25.5,3,17,12,,,1953,0,H043400000,,N,85501,,,"1,666.03",40.61,-75.50833
PA014869,HWB15,42077006102,SR 22(LR 771),State Highway Agency,,25.5,3,21,40,,,1953,0,H042600000,,N,85501,,,"2,071.28",40.61167,-75.51833
PA014873,HWB12,42077006102,SR 22(LR 771),State Highway Agency,,21.8,2,38,0,,,1953,0,H050200000,,N,85501,,,"3,541.49",40.615,-75.50667
PA014874,HWB3 ,42077006001,SR 22(LR 771),State Highway Agency,,31.4,1,23,30,,,1953,0,H044100000,,N,85501,,,"1,386.15",40.61833,-75.50167
PA014876,HWB15,42077005704,SR 22(LR 771),State Highway Agency,,21.8,3,12,19,,,1952,0,H054100000,,N,85501,,,"1,154.83",40.62333,-75.49
PA014878,HWB15,42077005705,SR 22(LR 771),State Highway Agency,,25.5,4,21,20,,,1952,0,N000000000,,7,85501,,,"3,557.20",40.62464,-75.48908
PA014879,HWB3 ,42077005702,SR 1029 (5TH ST.),State Highway Agency,,14.2,1,25,27,,,1953,0,H044100000,,N,320,,,677.01,40.63,-75.47333
PA014881,HWB15,42077005902,SR 22(LR 771),State Highway Agency,,19.4,3,55,0,,,1954,0,106600000,,6,87625,,,"7,091.10",40.63333,-75.465
PA014882,HWB15,42077005902,SR 22(LR 771),State Highway Agency,,19.4,2,55,0,,,1954,0,H106600000,,6,87625,,,"5,378.27",40.63333,-75.465
PA014884,HWB15,42077005902,SR 22(LR 771),State Highway Agency,,33.6,3,15,11,,,1952,0,H044100000,,N,87625,,,"2,017.25",40.63833,-75.44833
PA014886,HWB3 ,42077006402,PA 29/100(LR 158),State Highway Agency,,7.6,1,9,0,,,1926,0,N000000000,,3,12013,,,120.78,40.47583,-75.53225
PA014887,HWB17,42077006304,SR 29(LR 557),State Highway Agency,,10.8,3,15,0,,,1958,0,N000000000,,3,20773,,,896.32,40.54036,-75.52017
