Node 1,Node 2,Line Voltage (kV),Tower Type,Comment
Berwick Nuclear,Wescosville,500,H Frame,
Three Mile Nuclear,Hosensack,500,Lattice,
Limerick Nuclear,Whitpain,500,Lattice,
Bethlehem Gas,Steel City,500,Lattice,
Ontelaunee Gas,Hosensack,230,Lattice A,
Ontelaunee Gas,Alburtis,230,Lattice A,
Gilbert Gas,Hosensack,230,Lattice A,
Gilbert Gas,Springfield,230,Monopole,
Gilbert Gas,Glendon,115,Lattice,
Martins Creek Gas,Gilbert Gas,230,Lattice A,
Martins Creek Gas,Siegfried,230,Lattice B,
Martins Creek Gas,Quarry,230,Lattice A/Monopole,
Martins Creek Gas,Northwood,230,Lattice A,
Martins Creek Gas,Aluta,69,H Frame,
Martins Creek Gas,Jacobsburg,69,H Frame,
Northampton Coal,Northwood,138,Monopole,Originally said northampton but nothing there so assume it was supposed to be northwood
Northampton Coal,Catasauqua,138,Monopole,
Northampton Coal,Siegfried,138,Monopole,
Whitpain,Centerpoint,500,Lattice,
Centerpoint,Elroy,500,Lattice,
Elroy,Hosensack,500,Lattice,
Steel City,Hosensack,500,Lattice,
Hosensack,Alburtis,500,Lattice,
Alburtis,"Branchburg, NJ",500,Lattice,
Elroy,"Branchburg, NJ",500,Lattice,
Breinigsville,Wescosville,500,H Frame,
Alburtis,Breinigsville,500,H Frame,
Hosensack,N Boyertown,230,Lattice B,
Hosensack,Wescosville,230,Monopole,
Hosensack,Whitpain,230,Lattice B,
Steel City,Quarry,230,Lattice A,
Hosensack,Buxmont,230,Monopole,
Hosensack,Glendon,115,Lattice,
Northwood,Glendon,115,Lattice,
Northwood,Belfast,115,Lattice,
Siegfried,Egypt,138,Monopole,
Wescosville,Egypt,138,Monopole,
Egypt,Schnecksville,138,Monopole,
Siegfried,Whitehall,138,Monopole,
Whitehall,S Whitehall,138,Monopole,
Wescosville,S Whitehall,138,Lattice/Monopole,
Wescosville,Crackersport,138,Monopole,
Wescosville,Dorneyville,138,Monopole,
Catasauqua,Central Allentown,138,Monopole,
Catasauqua,Ironpigs,138,Monopole,
Ironpigs,East Allentown,138,Monopole,
Whitehall,Sumner,138,Monopole,
Central Allentown,Sumner,138,Monopole,
Jacobsburg,Buzzi Unicem,69,Monopole,
Jacobsburg,Aluta,69,Lattice,
Siegfried,Aluta,69,Lattice,
Siegfried,Hanover,69,Monopole,
Siegfried,Keystone Cement,69,Monopole,
Aluta,Nazareth,69,Lattice,
Nazareth,Butztown,69,Lattice,
Butztown,Quarry,69,Lattice,
Hanover,BECA,69,Monopole,
Hanover,Macada,69,Monopole,
Hanover,UPS,69,Monopole,
BECA,Quarry,69,Monopole,
Quarry,East Side,69,Monopole,
Quarry,Stefko,69,Lattice,
Stefko,Sands,69,Monopole,
Stefko,Heavy Forge,69,Lattice,
Elroy,Souderton,69,Monopole,
Souderton,Earlington,69,Monopole,
Earlington,Buxmont,69,Monopole,
Buxmont,Elroy,69,Monopole,
Buxmont,E Perkasie,69,Monopole,
Buxmont,Trumbauersville,69,Monopole,
Buxmont,W Perkasie,69,Monopole,
Trumbauersville,Quakertown,69,Monopole,
Buxmont,Pennsburg,69,H Frame,
Pennsburg,Upper Perk,69,Monopole,
Upper Perk,Hosensack,69,Lattice/Monopole,
Quakertown,Krupps Park,69,Monopole,
Quakertown,Springfield,69,Monopole,
Springfield,Coopersburg,69,Monopole,
Coopersburg,Hellertown,69,Monopole,
Hellertown,Hickory Hill,69,Monopole,
Trumbauersville,Spinnerstown,69,H Frame,
Spinnerstown,Hosensack,69,H Frame,
Hosensack,Lanark,69,Lattice,
Lanark,Hickory Hill,69,Lattice/Monopole/H Frame,
Hickory Hill,Mountiantop Campus,69,Monopole,
Mountiantop Campus,Saucon Gap,69,Monopole,
Mountiantop Campus,Quarry,69,Monopole,
Hosensack,Emmaus,69,Lattice/Monopole,
Emmaus,South Mall,69,Lattice/Monopole,
South Mall,Wynnewood,69,Monopole,
Wynnewood,Salisbury,69,Monopole,
Wynnewood,Summit,69,Monopole,
Salisbury,Fountain Hill,69,Monopole,
Fountain Hill,Westside,69,Monopole,
Salisbury,Hickory Hill,69,Monopole,
Wynnewood,Kressler,69,Monopole,
Kressler,Wescosville,69,Monopole,
Wescosville,Macungie,69,Monopole,
Macungie,Hosensack,69,H Frame,
Wescosville,Fogelsville,69,Monopole,
Fogelsville,Nestle,69,Monopole,
Nestle,Sam Adams,69,Monopole,
Fogelsville,Amcor,69,Monopole,
Amcor,Industrial,69,Monopole,
Industrial,Breinigsville,69,Monopole,
Breinigsville,Buckeye,69,Monopole,
Industrial,Cetronia,69,Monopole,
Cetronia,SolarTech,69,Monopole,
SolarTech,East Texas,69,Monopole,
East Texas,Macungie,69,Monopole,
East Texas,Mack Trucks,69,Monopole,
Mack Trucks,Victaulic,69,Monopole,
Victaulic,Johnstone,69,Monopole,
