Substation,Max Voltage (kV),Type,Longitude,Latitude
Hosensack,500,Transmission,-75.50700393,40.45595192
Wescosville,500,Transmission,-75.56057264,40.57358515
Steel City,500,Transmission,-75.3078392,40.61960406
Alburtis,500,Transmission,-75.58423423,40.48317738
Whitpain,500,Transmission,-75.31019006,40.17159647
Centerpoint,500,Transmission,-75.34779663,40.2125725
Elroy,500,Transmission,-75.32635595,40.27844835
Breinigsville,500,Transmission,-75.64423158,40.55136201
"Branchburg, NJ",500,Transmission,-74.74147679,40.54329488
Siegfried,230,Transmission,-75.5187662,40.71199233
Northwood,230,Transmission,-75.25588843,40.71029349
Buxmont,230,Transmission,-75.34010083,40.34841677
Springfield,230,Transmission,-75.34667084,40.49174186
N Boyertown,230,Transmission,-75.62960747,40.35508208
Quarry,230,Transmission,-75.34935116,40.62260863
Belfast,138,Distribution,-75.27070975,40.7652838
Crackersport,138,Distribution,-75.56551914,40.60476317
Dorneyville,138,Distribution,-75.53070777,40.58176449
Central Allentown,138,Distribution,-75.45604236,40.60927914
East Allentown,138,Distribution,-75.43365317,40.63227439
Sumner,138,Distribution,-75.49035654,40.60932675
Ironpigs,138,Distribution,-75.44933561,40.62934706
ATT,138,Distribution,-75.48774227,40.6326182
Catasauqua,138,Distribution,-75.4648117,40.65165473
Whitehall,138,Distribution,-75.49875265,40.64001022
Nhampton,138,Distribution,-75.4872567,40.69072014
Egypt,138,Distribution,-75.5391133,40.68024904
S Whitehall,138,Distribution,-75.52218,40.62499284
Schnecksville,138,Distribution,-75.60402165,40.66572045
Glendon,115,Distribution,-75.22948286,40.66642726
Butztown,69,Distribution,-75.31818145,40.66562472
Westside,69,Distribution,-75.4056165,40.61492336
Quakertown,69,Distribution,-75.36598468,40.44634772
Upper Perk,69,Distribution,-75.5145873,40.41253386
Saucon Gap,69,Distribution,-75.3317412,40.61882868
BECA,69,Distribution,-75.36588711,40.64557283
Nazareth,69,Distribution,-75.32274102,40.73528755
Pennsburg,69,Distribution,-75.48505164,40.39776888
Lanark,69,Distribution,-75.42243965,40.54506248
Hickory Hill,69,Distribution,-75.37460354,40.58760869
Aluta,69,Distribution,-75.32617823,40.75455345
Jacobsburg,69,Distribution,-75.30194928,40.76787692
Hanover,69,Distribution,-75.40752029,40.67332342
Macada,69,Distribution,-75.40486498,40.65206982
UPS,69,Distribution,-75.36981105,40.67451546
Fogelsville,69,Distribution,-75.6269608,40.59141526
Nestle,69,Distribution,-75.62912055,40.56975258
Cetronia,69,Distribution,-75.60496644,40.55659703
Macungie,69,Distribution,-75.53955825,40.51181715
Emmaus,69,Distribution,-75.49670713,40.52562507
Spinnerstown,69,Distribution,-75.42322542,40.42950567
Krupps Park,69,Distribution,-75.3412775,40.44641249
Hellertown,69,Distribution,-75.3435316,40.56534227
Coopersburg,69,Distribution,-75.3765781,40.51820986
Fountain Hill,69,Distribution,-75.40493347,40.60605923
East Texas,69,Distribution,-75.5661664,40.54608027
Wynnewood,69,Distribution,-75.47356299,40.56843745
Summit,69,Distribution,-75.47270212,40.57579801
Salisbury,69,Distribution,-75.43658197,40.58142298
South Mall,69,Distribution,-75.48713551,40.55664043
Kressler,69,Distribution,-75.53098182,40.5629909
Stefko,69,Distribution,-75.35803964,40.62037817
East Side,69,Distribution,-75.35762546,40.62274718
E Perkasie,69,Distribution,-75.25475871,40.37413593
W Perkasie,69,Distribution,-75.30763207,40.38019516
Trumbauersville,69,Distribution,-75.35967729,40.40624345
Earlington,69,Distribution,-75.35105308,40.32617032
Souderton,69,Distribution,-75.34313149,40.29676684
Mack Trucks,69,Commercial,-75.57781228,40.51850361
Amcor,69,Commercial,-75.60292728,40.57743159
Keystone Cement,69,Commercial,-75.40028426,40.7150495
Buzzi Unicem,69,Commercial,-75.27149549,40.75151176
Mountiantop Campus,69,Commercial,-75.35985052,40.59944533
Sam Adams,69,Commercial,-75.63104116,40.57565193
Industrial,69,Commercial,-75.60240223,40.57448184
SolarTech,69,Commercial,-75.6039022,40.55476904
Victaulic,69,Commercial,-75.60019017,40.51393902
Johnstone,69,Commercial,-75.60256027,40.52018604
Heavy Forge,69,Commercial,-75.34515209,40.61500245
Sands,69,Commercial,-75.35650686,40.61703962
Chemicals,69,Commercial,-75.35568515,40.62338565
Buckeye,69,Commercial,-75.6489693,40.54368678
