"","name","lat","long","isPlant","segment"
"1","Bethlehem Gas",40.61830614,-75.31352625,TRUE,1
"2","Steel City",40.61960406,-75.3078392,FALSE,1
"3","Gilbert Gas",40.56952573,-75.15613397,TRUE,2
"4","Hosensack",40.45595192,-75.50700393,FALSE,2
"5","Gilbert Gas",40.56952573,-75.15613397,TRUE,3
"6","Springfield",40.49174186,-75.34667084,FALSE,3
"7","Gilbert Gas",40.56952573,-75.15613397,TRUE,4
"8","Glendon",40.66642726,-75.22948286,FALSE,4
"9","Martins Creek Gas",40.80176636,-75.10616378,TRUE,5
"10","Gilbert Gas",40.56952573,-75.15613397,TRUE,5
"11","Martins Creek Gas",40.80176636,-75.10616378,TRUE,6
"12","Siegfried",40.71199233,-75.5187662,FALSE,6
"13","Martins Creek Gas",40.80176636,-75.10616378,TRUE,7
"14","Quarry",40.62260863,-75.34935116,FALSE,7
"15","Martins Creek Gas",40.80176636,-75.10616378,TRUE,8
"16","Northwood",40.71029349,-75.25588843,FALSE,8
"17","Martins Creek Gas",40.80176636,-75.10616378,TRUE,9
"18","Aluta",40.75455345,-75.32617823,FALSE,9
"19","Martins Creek Gas",40.80176636,-75.10616378,TRUE,10
"20","Jacobsburg",40.76787692,-75.30194928,FALSE,10
"21","Northampton Coal",40.69195545,-75.47908675,TRUE,11
"22","Northwood",40.71029349,-75.25588843,FALSE,11
"23","Northampton Coal",40.69195545,-75.47908675,TRUE,12
"24","Catasauqua",40.65165473,-75.4648117,FALSE,12
"25","Northampton Coal",40.69195545,-75.47908675,TRUE,13
"26","Siegfried",40.71199233,-75.5187662,FALSE,13
"27","Steel City",40.61960406,-75.3078392,FALSE,14
"28","Hosensack",40.45595192,-75.50700393,FALSE,14
"29","Hosensack",40.45595192,-75.50700393,FALSE,15
"30","Alburtis",40.48317738,-75.58423423,FALSE,15
"31","Breinigsville",40.55136201,-75.64423158,FALSE,16
"32","Wescosville",40.57358515,-75.56057264,FALSE,16
"33","Alburtis",40.48317738,-75.58423423,FALSE,17
"34","Breinigsville",40.55136201,-75.64423158,FALSE,17
"35","Hosensack",40.45595192,-75.50700393,FALSE,18
"36","Wescosville",40.57358515,-75.56057264,FALSE,18
"37","Steel City",40.61960406,-75.3078392,FALSE,19
"38","Quarry",40.62260863,-75.34935116,FALSE,19
"39","Hosensack",40.45595192,-75.50700393,FALSE,20
"40","Glendon",40.66642726,-75.22948286,FALSE,20
"41","Northwood",40.71029349,-75.25588843,FALSE,21
"42","Glendon",40.66642726,-75.22948286,FALSE,21
"43","Northwood",40.71029349,-75.25588843,FALSE,22
"44","Belfast",40.7652838,-75.27070975,FALSE,22
"45","Siegfried",40.71199233,-75.5187662,FALSE,23
"46","Egypt",40.68024904,-75.5391133,FALSE,23
"47","Wescosville",40.57358515,-75.56057264,FALSE,24
"48","Egypt",40.68024904,-75.5391133,FALSE,24
"49","Egypt",40.68024904,-75.5391133,FALSE,25
"50","Schnecksville",40.66572045,-75.60402165,FALSE,25
"51","Siegfried",40.71199233,-75.5187662,FALSE,26
