"","name","lat","long","segment","isCentralOffice"
"1","NATNPANR VERIZON PENNSYLVANIA, INC.",40.6874,-75.4976,1,TRUE
"2","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,1,TRUE
"3","NATNPANR VERIZON PENNSYLVANIA, INC.",40.6874,-75.4976,2,TRUE
"4","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,2,TRUE
"5","NATNPAAG RCN TELECOM SERVICE OF PENNSYLVANIA, INC.",40.6993,-75.4361,3,TRUE
"6","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,3,TRUE
"7","NATNPAAG RCN TELECOM SERVICE OF PENNSYLVANIA, INC.",40.6993,-75.4361,4,TRUE
"8","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,4,TRUE
"9","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,5,TRUE
"10","ALTWPACY CHOICE ONE COMMUNICATIONS, INC.",40.5867,-75.6114,5,TRUE
"11","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,6,TRUE
"12","MCNGPAXM VERIZON NORTH INC.-PA (CONTEL)",40.5181,-75.5581,6,TRUE
"13","BATHPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.7272,-75.3942,7,TRUE
"14","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,7,TRUE
"15","BATHPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.7272,-75.3942,8,TRUE
"16","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,8,TRUE
"17","BATHPABT VERIZON PENNSYLVANIA, INC.",40.7245,-75.3893,9,TRUE
"18","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,9,TRUE
"19","BATHPABT VERIZON PENNSYLVANIA, INC.",40.7245,-75.3893,10,TRUE
"20","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,10,TRUE
"21","BHLHPA08 SERVICE ELECTRIC TELEPHONE, INC.",40.6521,-75.4219,11,TRUE
"22","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,11,TRUE
"23","BHLHPA08 SERVICE ELECTRIC TELEPHONE, INC.",40.6521,-75.4219,12,TRUE
"24","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,12,TRUE
"25","HVTPPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.6451,-75.3988,13,TRUE
"26","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,13,TRUE
"27","HVTPPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.6451,-75.3988,14,TRUE
"28","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,14,TRUE
"29","BHLBPABE VERIZON PENNSYLVANIA, INC.",40.6216,-75.3766,15,TRUE
"30","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,15,TRUE
"31","BHLBPABE VERIZON PENNSYLVANIA, INC.",40.6216,-75.3766,16,TRUE
"32","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,16,TRUE
