"","fakeInt","IntName","long","lat","order","segment","bridgeName"
"1",FALSE,"S29 (1)",-75.550079,40.459835,1,1,NA
"2",FALSE,"S29 (1)",-75.54889,40.46472,2,1,"T-416 YEAKELS MILL"
"3",FALSE,"S29 (1)",-75.53225,40.47583,3,1,"PA 29/100(LR 158)"
"4",FALSE,"S29 (1)",-75.53236,40.47822,4,1,"T-837 TOLLGATE RD"
"5",FALSE,"S29 (1)",-75.528252,40.498211,5,1,NA
"6",FALSE,"S29 (1)",-75.525154,40.512405,6,1,NA
"7",FALSE,"S29 (1)",-75.515405,40.524993,7,1,NA
"8",FALSE,"S29 (1)",-75.514633,40.525291,8,1,NA
"9",FALSE,"S29 (1)",-75.51333,40.525,9,1,"PA TURNPIKE(I-476)"
"10",FALSE,"S29 (1)",-75.51333,40.525,10,1,"PA TURNPIKE(I-476)"
"11",FALSE,"S29 (1)",-75.508141,40.528275,11,1,NA
"12",FALSE,"S29 (1)",-75.52017,40.54036,12,1,"SR 29(LR 557)"
"13",FALSE,"S29 (1)",-75.518379,40.564594,13,1,NA
"14",FALSE,"S29 (1)",-75.519218,40.567703,14,1,NA
"15",FALSE,"WILLIAM PENN HWY (2)",-75.293579,40.666584,1,2,NA
"16",FALSE,"WILLIAM PENN HWY (2)",-75.248611,40.681831,2,2,NA
"17",FALSE,"S987 (4)",-75.443573,40.624123,1,4,NA
"18",FALSE,"S987 (4)",-75.43251,40.642979,2,4,NA
"19",FALSE,"S987 (4)",-75.43167,40.64333,3,4,"SR 987 (LR 39031)"
"20",FALSE,"S987 (4)",-75.426155,40.662552,4,4,NA
"21",FALSE,"S987 (4)",-75.425301,40.66367,5,4,NA
"22",FALSE,"S378 (5)",-75.393715,40.528934,1,5,NA
"23",FALSE,"S378 (5)",-75.39339,40.53639,2,5,"PRESTON LANE"
"24",FALSE,"S378 (5)",-75.39439,40.55078,3,5,"SR 378(LR 297)"
"25",FALSE,"S378 (5)",-75.391212,40.572773,4,5,NA
"26",FALSE,"S378 (5)",-75.391111,40.573056,5,5,NA
"27",FALSE,"S378 (5)",-75.390528,40.574629,6,5,NA
"28",FALSE,"S378 (5)",-75.390442,40.574863,7,5,NA
"29",FALSE,"S378 (5)",-75.385849,40.608513,8,5,NA
"30",FALSE,"S378 (5)",-75.384697,40.610184,9,5,NA
"31",FALSE,"S378 (5)",-75.384682,40.614204,10,5,NA
"32",FALSE,"S378 (5)",-75.384773,40.614727,11,5,NA
"33",FALSE,"S378 (5)",-75.384785,40.614792,12,5,NA
"34",FALSE,"S378 (5)",-75.38333,40.61667,13,5,"S MAIN ST"
"35",FALSE,"S378 (5)",-75.385,40.61667,14,5,"PA 378(LR 297)"
"36",FALSE,"S378 (5)",-75.38336,40.61792,15,5,"SOUTH MAIN STREET"
"37",FALSE,"S378 (5)",-75.38361,40.61861,16,5,"MAIN ST RAMP"
"38",FALSE,"S378 (5)",-75.385277,40.620388,17,5,NA
"39",FALSE,"S378 (5)",-75.38361,40.6225,18,5,"BROAD STREET"
"40",FALSE,"S378 (5)",-75.386238,40.624912,19,5,NA
"41",FALSE,"S378 (5)",-75.395,40.63,20,5,"SR1011"
"42",FALSE,"S378 (5)",-75.40361,40.62639,21,5,"SR 1031(14TH AVE.)"
"43",FALSE,"S378 (5)",-75.40889,40.63139,22,5,"SR1018(EATON AVE.)"
"44",FALSE,"S378 (5)",-75.415436,40.648689,23,5,NA
"45",FALSE,"EMAUS AV (6)",-75.508141,40.528275,1,6,NA
"46",FALSE,"EMAUS AV (6)",-75.489822,40.547527,2,6,NA
"47",FALSE,"EMAUS AV (6)",-75.477722,40.56102,3,6,NA
"48",FALSE,"EMAUS AV (6)",-75.476257,40.563454,4,6,NA
"49",FALSE,"EMAUS AV (6)",-75.474594,40.565998,5,6,NA
"50",FALSE,"EMAUS AV (6)",-75.454636,40.577827,6,6,NA
"51",FALSE,"EMAUS AV (6)",-75.390694,40.604946,7,6,NA
"52",FALSE,"EMAUS AV (6)",-75.390246,40.605393,8,6,NA
"53",FALSE,"EMAUS AV (6)",-75.385849,40.608513,9,6,NA
"54",FALSE,"S248 (7)",-75.608259,40.787461,1,7,NA
"55",FALSE,"S248 (7)",-75.608215,40.787403,2,7,NA
"56",FALSE,"S248 (7)",-75.603989,40.78194,3,7,NA
"57",FALSE,"S248 (7)",-75.6,40.78333,4,7,"SR 248(LR 163)"
"58",FALSE,"S248 (7)",-75.573959,40.769119,5,7,NA
"59",FALSE,"S248 (7)",-75.557,40.76139,6,7,"T-532A EVERGREEN"
"60",FALSE,"S248 (7)",-75.51214,40.74375,7,7,"T-811 INDIAN TRAIL"
"61",FALSE,"S248 (7)",-75.51017,40.74706,8,7,"SR 248 (LR 471)"
"62",FALSE,"S248 (7)",-75.47381,40.74939,9,7,"SR 248 (LR 471)"
"63",FALSE,"S248 (7)",-75.47169,40.74794,10,7,"T-557 POOL RD"
"64",FALSE,"S248 (7)",-75.47078,40.74792,11,7,"SR 248 (LR 471)"
"65",FALSE,"S248 (7)",-75.39608,40.72673,12,7,NA
"66",FALSE,"S248 (7)",-75.39531,40.72697,13,7,"NORTHAMPTON ST."
"67",FALSE,"S248 (7)",-75.393303,40.727161,14,7,NA
"68",FALSE,"S248 (7)",-75.37669,40.72981,15,7,"SR 248 (LR 175)"
"69",FALSE,"S248 (7)",-75.34336,40.73425,16,7,"SR 248 (LR 175)"
"70",FALSE,"S248 (7)",-75.341042,40.734329,17,7,NA
"71",FALSE,"S248 (7)",-75.313217,40.732517,18,7,NA
"72",FALSE,"S873 (9)",-75.612556,40.672501,1,9,NA
"73",FALSE,"S873 (9)",-75.608803,40.69099,2,9,NA
"74",FALSE,"S873 (9)",-75.625,40.71667,3,9,"SR 873,LR 163"
"75",FALSE,"S873 (9)",-75.624519,40.717331,4,9,NA
"76",FALSE,"S873 (9)",-75.624466,40.71748,5,9,NA
"77",FALSE,"S873 (9)",-75.606613,40.752579,6,9,NA
"78",FALSE,"S873 (9)",-75.607079,40.783035,7,9,NA
"79",FALSE,"S873 (9)",-75.606813,40.783321,8,9,NA
"80",FALSE,"S873 (9)",-75.603989,40.78194,9,9,NA
"81",FALSE,"S33 (10)",-75.276428,40.632996,1,10,NA
"82",FALSE,"S33 (10)",-75.293579,40.666584,2,10,NA
"83",FALSE,"S33 (10)",-75.289078,40.683098,3,10,NA
"84",FALSE,"S33 (10)",-75.28833,40.68333,4,10,"SR 33(LR 1098SB)"
"85",FALSE,"S33 (10)",-75.28833,40.68333,5,10,"SR 33(LR 1098NB)"
"86",FALSE,"S33 (10)",-75.289757,40.697609,6,10,NA
"87",FALSE,"S33 (10)",-75.288948,40.717022,7,10,NA
"88",FALSE,"S33 (10)",-75.27931,40.72419,8,10,"SR 33 NB(LR 1098)"
"89",FALSE,"S33 (10)",-75.27956,40.72461,9,10,"SR 33 SB(LR 1098)"
"90",FALSE,"S33 (10)",-75.27667,40.72667,10,10,"SR 33 SB(LR1098)"
"91",FALSE,"S33 (10)",-75.27667,40.72667,11,10,"SR 33 NB(LR 1098)"
"92",FALSE,"S33 (10)",-75.265,40.73667,12,10,"SR 33 NB(LR 1098)"
"93",FALSE,"S33 (10)",-75.267517,40.73962,13,10,NA
"94",FALSE,"S33 (10)",-75.265,40.75167,14,10,"SR 33 SB(LR 1098)"
"95",FALSE,"S33 (10)",-75.265,40.75333,15,10,"SR 33 NB(LR 1098)"
"96",FALSE,"S33 (10)",-75.26902,40.755283,16,10,NA
"97",FALSE,"S33 (10)",-75.27333,40.76,17,10,"SR 33 SB(LR 1098)"
"98",FALSE,"S33 (10)",-75.27333,40.76167,18,10,"SR 33 N.B.(LR1098)"
"99",FALSE,"S33 (10)",-75.27667,40.77167,19,10,"SR 1006 (LR 48095)"
"100",FALSE,"S33 (10)",-75.27983,40.77111,20,10,"SR 1006 (LR 48095)"
"101",FALSE,"S33 (10)",-75.28119,40.77183,21,10,"T-597 FILETOWN RD."
"102",FALSE,"S33 (10)",-75.285,40.78,22,10,"SR 33 SB(LR 1098)"
"103",FALSE,"S33 (10)",-75.285,40.78,23,10,"SR 33 SB(LR 48040)"
"104",FALSE,"S33 (10)",-75.285,40.78,24,10,"SR 33 NB(LR 1098)"
"105",FALSE,"S33 (10)",-75.285,40.78,25,10,"SR 33 NB(LR 1098)"
"106",FALSE,"S33 (10)",-75.29667,40.79667,26,10,"SR 33 SB(LR 1098)"
"107",FALSE,"S33 (10)",-75.29667,40.79667,27,10,"SR 33 NB(LR 1098)"
"108",FALSE,"S33 (10)",-75.29833,40.82,28,10,"SR1042 KROMER RD"
"109",FALSE,"S33 (10)",-75.299301,40.833382,29,10,NA
"110",FALSE,"S33 (10)",-75.30167,40.835,30,10,"SR 33(LR 796)"
