Latitude ,Longitude,Code,Company
40.639,-75.4494,ALTWPAAE,"XO PENNSYLVANIA, INC."
40.6031,-75.4765,ALTWPAAL,"CTSI, INC. - PA VERIZON PENNSYLVANIA, INC."
40.6023,-75.4707,ALTWPACS,"CCCPA, INC. DBA CONNECT!"
40.5867,-75.6114,ALTWPACY,"CHOICE ONE COMMUNICATIONS, INC."
40.6084,-75.4863,ALTWPADT,"IRONTON TELEPHONE CO. SERVICE ELECTRIC TELEPHONE, INC."
40.6041,-75.4681,ALTWPAHS,TELCOVE OF EASTERN PENNSYLVANIA - PA
40.5759,-75.4579,ALTWPAMT,"VERIZON PENNSYLVANIA, INC."
40.7272,-75.3942,BATHPA01,"SERVICE ELECTRIC TELEPHONE, INC."
40.7245,-75.3893,BATHPABT,"VERIZON PENNSYLVANIA, INC."
40.6216,-75.3766,BHLBPABE,"VERIZON PENNSYLVANIA, INC."
40.6521,-75.4219,BHLHPA08,"SERVICE ELECTRIC TELEPHONE, INC."
40.8696,-75.2112,BNGRPAXB,COMMONWEALTH TELEPHONE COMPANY
41.093,-75.0003,BSHKPABU,"VERIZON PENNSYLVANIA, INC."
40.4075,-80.0864,CARNPACA,"VERIZON PENNSYLVANIA, INC."
40.5156,-75.3892,CPBGPAXC,COMMONWEALTH TELEPHONE COMPANY
40.5316,-75.5004,EMMSPA01,"SERVICE ELECTRIC TELEPHONE, INC."
40.5326,-75.492,EMMSPAXE,VERIZON NORTH INC.-PA (CONTEL)
40.6936,-75.2099,ESTNPAEA,"VERIZON PENNSYLVANIA, INC."
40.7063,-75.2193,FRKSPA01,"SERVICE ELECTRIC TELEPHONE, INC."
40.6386,-75.4796,FUTNPA01,"SERVICE ELECTRIC TELEPHONE, INC."
40.8696,-75.2112,GNGRPAXB,COMMONWEALTH TELEPHONE COMPANY
40.5837,-75.3385,HLTWPAHE,"VERIZON PENNSYLVANIA, INC."
39.8032,-76.9825,HNVRPAXH,SPRINT/UNITED TELEPHONE OF PENNSYLVANIA
40.6451,-75.3988,HVTPPA01,"SERVICE ELECTRIC TELEPHONE, INC."
40.6261,-75.849,KMTNPAXK,VERIZON NORTH INC.-PA (QUAKER ST)
40.667,-75.8124,LYNNPA01,"SERVICE ELECTRIC TELEPHONE, INC."
40.5181,-75.5581,MCNGPAXM,VERIZON NORTH INC.-PA (CONTEL)
40.6041,-75.4681,NATNPAAC,"BLUE LICENSES HOLDING, LLC"
40.6993,-75.4361,NATNPAAG,"RCN TELECOM SERVICE OF PENNSYLVANIA, INC."
40.6874,-75.4976,NATNPANR,"VERIZON PENNSYLVANIA, INC."
40.5786,-75.7307,NWSMPAXN,VERIZON NORTH INC.-PA (QUAKER ST)
40.6741,-75.7511,NWTRPAXN,VERIZON NORTH INC.-PA (QUAKER ST)
40.741,-75.3062,NZRTPANA,"VERIZON PENNSYLVANIA, INC."
40.8673,-75.2585,PNARPAXP,COMMONWEALTH TELEPHONE COMPANY
40.921,-75.098,PTLDPAXP,COMMONWEALTH TELEPHONE COMPANY
40.8484,-75.1419,RMNHPAXR,COMMONWEALTH TELEPHONE COMPANY
40.5569,-75.2898,SFTBPA01,"SERVICE ELECTRIC TELEPHONE, INC."
39.7512,-79.0818,SLSBPAXS,VERIZON NORTH INC.-PA
40.75,-75.6112,SLTTPAES,"VERIZON PENNSYLVANIA, INC."
40.5324,-75.3581,USCNPA01,"SERVICE ELECTRIC TELEPHONE, INC."
40.169,-80.2456,WASHPAWA,"CHOICE ONE COMMUNICATIONS, INC. , FIBERNET TELECOMMUNICATIONS OF PENNSYLVANIA LLC PA , INTERMEDIA COMMUNICATIONS INC. - PA ,  VERIZON PENNSYLVANIA, INC."
40.5786,-75.7307,WSBGPA01,"SERVICE ELECTRIC TELEPHONE, INC."
