Sample    1 Run    1:
Power System:
Compoment            Number Date 
Generator            2     0    
Generator            6     0    
Generator            1     0    
Generator            4     0    
Generator            3     0    
Generator            7     0    
Generator            5     0    
Branch               98    0    
Branch               98    0    
Branch               324   0    
Branch               324   0    
Branch               349   0    
Branch               349   0    
Branch               359   0    
Branch               359   0    
Branch               384   0    
Branch               384   0    
Branch               432   0    
Branch               432   0    
Branch               443   0    
Branch               443   0    
Communication System:
Compoment            Number Date 
CommunicationTower   1     0    
CommunicationTower   2     0    
CommunicationTower   3     0    
CommunicationTower   4     0    
CommunicationTower   5     0    
CommunicationTower   6     0    
CommunicationTower   7     0    
CommunicationTower   8     0    
CommunicationTower   9     0    
CommunicationTower   10    0    
CommunicationTower   11    0    
CommunicationTower   12    0    
CommunicationTower   13    0    
CommunicationTower   16    0    
CommunicationTower   17    0    
CommunicationTower   18    0    
CommunicationTower   19    0    
CommunicationTower   20    0    
CommunicationTower   21    0    
Transportation System:
Compoment            Number Date 
Road                 5     0    
Road                 5     0    
Road                 11    0    
Road                 11    0    
Road                 14    0    
Road                 14    0    
Road                 19    0    
Road                 19    0    
Road                 21    0    
Road                 21    0    
Road                 25    0    
Road                 25    0    
Road                 35    0    
Road                 35    0    
Road                 36    0    
Road                 36    0    
Road                 56    0    
Road                 56    0    
Road                 58    0    
Road                 58    0    
Road                 60    0    
Road                 60    0    
Road                 61    0    
Road                 61    0    
Road                 68    0    
Road                 68    0    
Road                 73    0    
Road                 73    0    
Road                 74    0    
Road                 74    0    
Road                 77    0    
Road                 77    0    
Road                 82    0    
Road                 82    0    
Road                 98    0    
Road                 98    0    
Road                 105   0    
Road                 105   0    
Road                 108   0    
Road                 108   0    
Road                 115   0    
Road                 115   0    
Road                 119   0    
Road                 119   0    
Road                 122   0    
Road                 122   0    
Road                 123   0    
Road                 123   0    
Road                 125   0    
Road                 125   0    
Road                 131   0    
Road                 131   0    
Road                 139   0    
Road                 139   0    
Road                 147   0    
Road                 147   0    
Road                 159   0    
Road                 159   0    
Road                 161   0    
Road                 161   0    
Road                 163   0    
Road                 163   0    
Road                 164   0    
Road                 164   0    
Road                 165   0    
Road                 165   0    
Road                 167   0    
Road                 167   0    
Road                 168   0    
Road                 168   0    
Road                 169   0    
Road                 169   0    
Road                 175   0    
Road                 175   0    
Road                 184   0    
Road                 184   0    
Road                 189   0    
Road                 189   0    
Bridge               4     0    
Bridge               4     0    
Bridge               4     0    
Bridge               4     0    
Bridge               5     0    
Bridge               5     0    
Bridge               5     0    
Bridge               5     0    
Bridge               7     0    
Bridge               7     0    
Bridge               7     0    
Bridge               7     0    
Bridge               8     0    
Bridge               8     0    
Bridge               8     0    
Bridge               8     0    
Bridge               9     0    
Bridge               9     0    
Bridge               9     0    
Bridge               9     0    
Bridge               10    0    
Bridge               10    0    
Bridge               10    0    
Bridge               10    0    
Bridge               11    0    
Bridge               11    0    
Bridge               11    0    
Bridge               11    0    
Bridge               17    0    
Bridge               17    0    
Bridge               17    0    
Bridge               17    0    
Bridge               18    0    
Bridge               18    0    
Bridge               18    0    
Bridge               18    0    
Bridge               24    0    
Bridge               24    0    
Bridge               24    0    
Bridge               24    0    
Bridge               25    0    
Bridge               25    0    
Bridge               25    0    
Bridge               25    0    
Bridge               26    0    
Bridge               26    0    
Bridge               26    0    
Bridge               26    0    
Bridge               29    0    
Bridge               29    0    
Bridge               29    0    
Bridge               29    0    
Bridge               32    0    
Bridge               32    0    
Bridge               32    0    
Bridge               32    0    
Bridge               36    0    
Bridge               36    0    
Bridge               36    0    
Bridge               36    0    
Bridge               38    0    
Bridge               38    0    
Bridge               38    0    
Bridge               38    0    
Bridge               40    0    
Bridge               40    0    
Bridge               40    0    
Bridge               40    0    
Bridge               41    0    
Bridge               41    0    
Bridge               41    0    
Bridge               41    0    
Bridge               42    0    
Bridge               42    0    
Bridge               42    0    
Bridge               42    0    
Bridge               43    0    
Bridge               43    0    
Bridge               43    0    
Bridge               43    0    
Bridge               49    0    
Bridge               49    0    
Bridge               49    0    
Bridge               49    0    
Bridge               50    0    
Bridge               50    0    
Bridge               50    0    
Bridge               50    0    
Bridge               51    0    
Bridge               51    0    
Bridge               51    0    
Bridge               51    0    
Bridge               52    0    
Bridge               52    0    
Bridge               52    0    
Bridge               52    0    
Bridge               53    0    
Bridge               53    0    
Bridge               53    0    
Bridge               53    0    
Bridge               58    0    
Bridge               58    0    
Bridge               58    0    
Bridge               58    0    
Bridge               59    0    
Bridge               59    0    
Bridge               59    0    
Bridge               59    0    
Bridge               60    0    
Bridge               60    0    
Bridge               60    0    
Bridge               60    0    
Bridge               61    0    
Bridge               61    0    
Bridge               61    0    
Bridge               61    0    
Bridge               63    0    
Bridge               63    0    
Bridge               63    0    
Bridge               63    0    
Bridge               65    0    
Bridge               65    0    
Bridge               65    0    
Bridge               65    0    
Bridge               66    0    
Bridge               66    0    
Bridge               66    0    
Bridge               66    0    
Bridge               72    0    
Bridge               72    0    
Bridge               72    0    
Bridge               72    0    
Bridge               73    0    
Bridge               73    0    
Bridge               73    0    
Bridge               73    0    
Bridge               75    0    
Bridge               75    0    
Bridge               75    0    
Bridge               75    0    
Bridge               78    0    
Bridge               78    0    
Bridge               78    0    
Bridge               78    0    
Bridge               79    0    
Bridge               79    0    
Bridge               79    0    
Bridge               79    0    
Bridge               81    0    
Bridge               81    0    
Bridge               81    0    
Bridge               81    0    
Bridge               85    0    
Bridge               85    0    
Bridge               85    0    
Bridge               85    0    
Bridge               86    0    
Bridge               86    0    
Bridge               86    0    
Bridge               86    0    
Bridge               87    0    
Bridge               87    0    
Bridge               87    0    
Bridge               87    0    
Bridge               89    0    
Bridge               89    0    
Bridge               89    0    
Bridge               89    0    
Bridge               90    0    
Bridge               90    0    
Bridge               90    0    
Bridge               90    0    
Bridge               94    0    
Bridge               94    0    
Bridge               94    0    
Bridge               94    0    
Bridge               97    0    
Bridge               97    0    
Bridge               97    0    
Bridge               97    0    
Bridge               98    0    
Bridge               98    0    
Bridge               98    0    
Bridge               98    0    
Bridge               99    0    
Bridge               99    0    
Bridge               99    0    
Bridge               99    0    
Bridge               100   0    
Bridge               100   0    
Bridge               100   0    
Bridge               100   0    
Bridge               101   0    
Bridge               101   0    
Bridge               101   0    
Bridge               101   0    
Bridge               102   0    
Bridge               102   0    
Bridge               102   0    
Bridge               102   0    
Bridge               103   0    
Bridge               103   0    
Bridge               103   0    
Bridge               103   0    
Bridge               105   0    
Bridge               105   0    
Bridge               105   0    
Bridge               105   0    
Bridge               106   0    
Bridge               106   0    
Bridge               106   0    
Bridge               106   0    
Bridge               108   0    
Bridge               108   0    
Bridge               108   0    
Bridge               108   0    
Bridge               109   0    
Bridge               109   0    
Bridge               109   0    
Bridge               109   0    
Bridge               112   0    
Bridge               112   0    
Bridge               112   0    
Bridge               112   0    
Bridge               115   0    
Bridge               115   0    
Bridge               115   0    
Bridge               115   0    
Bridge               120   0    
Bridge               120   0    
Bridge               120   0    
Bridge               120   0    
Bridge               121   0    
Bridge               121   0    
Bridge               121   0    
Bridge               121   0    
Bridge               122   0    
Bridge               122   0    
Bridge               122   0    
Bridge               122   0    
Bridge               123   0    
Bridge               123   0    
Bridge               123   0    
Bridge               123   0    
Bridge               124   0    
Bridge               124   0    
Bridge               124   0    
Bridge               124   0    
Bridge               128   0    
Bridge               128   0    
Bridge               128   0    
Bridge               128   0    
Bridge               130   0    
Bridge               130   0    
Bridge               130   0    
Bridge               130   0    
Bridge               131   0    
Bridge               131   0    
Bridge               131   0    
Bridge               131   0    
Bridge               132   0    
Bridge               132   0    
Bridge               132   0    
Bridge               132   0    
Bridge               133   0    
Bridge               133   0    
Bridge               133   0    
Bridge               133   0    
Bridge               138   0    
Bridge               138   0    
Bridge               138   0    
Bridge               138   0    
Bridge               159   0    
Bridge               159   0    
Bridge               159   0    
Bridge               159   0    
Bridge               161   0    
Bridge               161   0    
Bridge               161   0    
Bridge               161   0    
Bridge               181   0    
Bridge               181   0    
Bridge               181   0    
Bridge               181   0    
Bridge               183   0    
Bridge               183   0    
Bridge               183   0    
Bridge               183   0    
Bridge               184   0    
Bridge               184   0    
Bridge               184   0    
Bridge               184   0    
Bridge               185   0    
Bridge               185   0    
Bridge               185   0    
Bridge               185   0    
Bridge               188   0    
Bridge               188   0    
Bridge               188   0    
Bridge               188   0    
Bridge               189   0    
Bridge               189   0    
Bridge               189   0    
Bridge               189   0    
Bridge               190   0    
Bridge               190   0    
Bridge               190   0    
Bridge               190   0    
Bridge               192   0    
Bridge               192   0    
Bridge               192   0    
Bridge               192   0    
Bridge               196   0    
Bridge               196   0    
Bridge               196   0    
Bridge               196   0    
Bridge               199   0    
Bridge               199   0    
Bridge               199   0    
Bridge               199   0    
Bridge               200   0    
Bridge               200   0    
Bridge               200   0    
Bridge               200   0    
Bridge               201   0    
Bridge               201   0    
Bridge               201   0    
Bridge               201   0    
Bridge               203   0    
Bridge               203   0    
Bridge               203   0    
Bridge               203   0    
Bridge               204   0    
Bridge               204   0    
Bridge               204   0    
Bridge               204   0    
Bridge               205   0    
Bridge               205   0    
Bridge               205   0    
Bridge               205   0    
Bridge               207   0    
Bridge               207   0    
Bridge               207   0    
Bridge               207   0    
Bridge               209   0    
Bridge               209   0    
Bridge               209   0    
Bridge               209   0    
Bridge               210   0    
Bridge               210   0    
